scenario,period,office,from_governance,to_governance,recent_admin_exclusion,recent_demand_gap,recent_inclusion,recent_congestion,recent_trust
adaptive,25,0,H,D,0.005692126542935582,0.21164732041441842,0.061024578170693775,1.29048187009138,0.8022437686043125
adaptive,25,4,H,D,4.626542935582104e-06,0.2506905985279117,0.08417056721230173,1.1140272990033515,0.7564795633783358
adaptive,30,1,H,D,5.368134394315895e-07,0.23663806409342425,0.09222393700611602,1.2237778855179833,0.8163770779804201
adaptive,30,2,H,D,5.368134394315895e-07,0.22495221626017792,0.09508816355819455,1.1916327889422622,0.8224603249740972
adaptive,30,5,H,D,5.368134394315895e-07,0.30469504340173936,0.0935660635578572,1.0962379535098625,0.8034090346313634
adaptive,40,2,D,H,0.0008249013431924965,0.23927750740438813,0.15176296853884186,1.2619226090268119,0.9003224625046651
adaptive,40,3,H,D,7.2269815590149864e-09,0.23458522940903104,0.1022696541164888,1.149312452829734,0.8386674209106362
