office,initial_governance,final_governance,switch_count,delegated_share_over_time,hazard,territorial_complexity,base_effort_final,opportunism_final,service_quality_final,admin_exclusion_final,demand_gap_final,access_gap_final
0,H,D,1,0.4,1.2565279961084828,0.7817846079009283,0.515820216170865,0.15231664450035332,0.2662822160782806,0.14285714285714285,0.2391304347826087,0.34782608695652173
1,H,D,1,0.275,1.0975620450735224,0.4760808559106196,0.5264701256093436,0.16431872830206629,0.3047174006363457,0.03333333333333333,0.23076923076923078,0.2564102564102564
2,H,H,2,0.25,1.1668404414598326,0.6093085412689085,0.5243907439842187,0.1702058139981494,0.29412894821673985,0.0,0.24324324324324326,0.2432432432432432
3,H,D,1,0.025,1.1862729336829374,0.6466787186210331,0.600740132758229,0.05235394856729488,0.44153753298635984,0.0,0.22857142857142856,0.22857142857142854
4,H,D,1,0.4,1.019958225023244,0.3268427404293153,0.5191488107234081,0.15935669673180144,0.2955387360244254,0.14285714285714285,0.20454545454545456,0.31818181818181823
5,H,D,1,0.275,1.0614049922599398,0.4065480620383453,0.5306899554626925,0.15421248910474034,0.31293899639063827,0.0,0.30952380952380953,0.30952380952380953
