scenario,period,applications,approvals,eligible_approved,ineligible_approved,application_rate,access_rate,exclusion_error,admin_exclusion_error,demand_gap,inclusion_error,avg_trust,avg_info,avg_monitoring,avg_service_quality,avg_congestion,territorial_inequality,delegated_share
hierarchy,0,197,102,78,24,0.3283333333333333,0.32098765432098764,0.6790123456790124,0.0,0.6790123456790124,0.23529411764705882,0.528200431059525,0.4670896911956417,0.7366235764817097,0.5587881475058534,0.6314102564102564,0.06112771330871551,0.0
hierarchy,1,194,105,83,22,0.3233333333333333,0.34156378600823045,0.6584362139917695,0.0,0.6584362139917695,0.20952380952380953,0.531931150529114,0.47787542104432057,0.7365465448824188,0.5427643377531668,0.6217948717948718,0.0803974985947273,0.0
hierarchy,2,216,120,101,19,0.36,0.4156378600823045,0.5843621399176955,0.0,0.5843621399176955,0.15833333333333333,0.5380721527513243,0.49098250171776364,0.7263956568306766,0.5298539787286742,0.6923076923076924,0.04178956776253867,0.0
hierarchy,3,230,115,96,19,0.38333333333333336,0.3950617283950617,0.6049382716049383,0.0,0.6049382716049383,0.16521739130434782,0.5435953479550656,0.5034419559826218,0.7221524183877831,0.5195207668680054,0.7371794871794872,0.05747133624943452,0.0
hierarchy,4,229,125,107,18,0.38166666666666665,0.4403292181069959,0.5596707818930041,0.0,0.5596707818930041,0.144,0.5506685559298423,0.5172910328698941,0.7204759808739912,0.5113020249579381,0.7339743589743589,0.026941392801545644,0.0
hierarchy,5,198,117,99,18,0.33,0.4074074074074074,0.5925925925925926,0.0,0.5925925925925926,0.15384615384615385,0.5565559877579446,0.5299921875967939,0.7315171696219553,0.5052922975114901,0.6346153846153846,0.10235394224719767,0.0
hierarchy,6,230,124,106,18,0.38333333333333336,0.43621399176954734,0.5637860082304527,0.0,0.5637860082304527,0.14516129032258066,0.5634073471149547,0.5432583573347586,0.7196164191212863,0.49975451160962026,0.7371794871794871,0.06076229569413885,0.0
hierarchy,7,275,154,136,18,0.4583333333333333,0.5596707818930041,0.4403292181069959,0.0,0.4403292181069959,0.11688311688311688,0.5741317671003419,0.5597702798303488,0.6998019135260068,0.4939817106763374,0.8814102564102564,0.06600714519179096,0.0
hierarchy,8,257,145,127,18,0.42833333333333334,0.522633744855967,0.47736625514403297,0.0,0.4773662551440329,0.12413793103448276,0.5837269963677225,0.5748141654146931,0.7063193986182688,0.4900282971241084,0.8237179487179488,0.08744177766253279,0.0
hierarchy,9,260,144,126,18,0.43333333333333335,0.5185185185185185,0.4814814814814815,0.0,0.48148148148148145,0.125,0.5930879206281321,0.5893152352883214,0.7049779524225804,0.48672742431677224,0.8333333333333334,0.05058353292493271,0.0
