office,initial_governance,final_governance,switch_count,delegated_share_over_time,hazard,territorial_complexity,base_effort_final,opportunism_final,service_quality_final,admin_exclusion_final,demand_gap_final,access_gap_final
0,D,D,0,1.025,1.2565279961084828,0.7817846079009283,0.5047294149237961,0.16897791442938023,0.24841906983579487,0.3170731707317073,0.10869565217391304,0.3913043478260869
1,D,D,0,1.025,1.0975620450735224,0.4760808559106196,0.5095308979314054,0.18012362224718267,0.27961676413270375,0.09090909090909091,0.15384615384615385,0.23076923076923073
2,D,D,0,1.025,1.1668404414598326,0.6093085412689085,0.5039867884021698,0.2041738326627874,0.26824752836171545,0.0,0.32432432432432434,0.32432432432432434
3,D,D,0,1.025,1.1862729336829374,0.6466787186210331,0.5072616159966011,0.205539035331664,0.27925989947442276,0.0,0.34285714285714286,0.34285714285714286
4,D,D,0,1.025,1.019958225023244,0.3268427404293153,0.516151642565954,0.16397977591624438,0.2978035246269375,0.08823529411764706,0.22727272727272727,0.2954545454545454
5,D,D,0,1.025,1.0614049922599398,0.4065480620383453,0.514125796090444,0.16774947000849133,0.29110244095150456,0.0,0.2619047619047619,0.26190476190476186
