office,initial_governance,final_governance,switch_count,delegated_share_over_time,hazard,territorial_complexity,base_effort_final,opportunism_final,service_quality_final,admin_exclusion_final,demand_gap_final,access_gap_final
0,H,H,0,0.0,1.2565279961084828,0.7817846079009283,0.5843502244061815,0.06082074103810608,0.4023984667050632,0.0,0.21739130434782608,0.21739130434782605
1,H,H,0,0.0,1.0975620450735224,0.4760808559106196,0.5939147698785483,0.05772859763474935,0.4324877310769534,0.0,0.23076923076923078,0.23076923076923073
2,H,H,0,0.0,1.1668404414598326,0.6093085412689085,0.5923988044670476,0.058475615768221224,0.42801342585838825,0.0,0.2972972972972973,0.29729729729729726
3,H,H,0,0.0,1.1862729336829374,0.6466787186210331,0.6004429065888585,0.05235870161685656,0.44132566207328705,0.0,0.37142857142857144,0.37142857142857144
4,H,H,0,0.0,1.019958225023244,0.3268427404293153,0.5912978881480448,0.059262969553651096,0.42820790943731446,0.0,0.25,0.25
5,H,H,0,0.0,1.0614049922599398,0.4065480620383453,0.5925160263235365,0.05897355451330303,0.432195280161583,0.0,0.2619047619047619,0.26190476190476186
