scenario,applications_final,approvals_final,eligible_approved_final,ineligible_approved_final,access_rate_final,exclusion_error_final,inclusion_error_final,avg_trust_final,avg_info_final,avg_monitoring_final,avg_service_quality_final,avg_congestion_final,territorial_inequality_final,delegated_share_final,access_rate_mean,exclusion_error_mean,admin_exclusion_error_mean,demand_gap_mean,inclusion_error_mean,avg_trust_mean,avg_info_mean,avg_monitoring_mean,avg_service_quality_mean,avg_congestion_mean,territorial_inequality_mean,delegated_share_mean
hierarchy,399,196,178,18,0.7325102880658436,0.2674897119341564,0.09183673469387756,0.9164580349479892,0.810869192350537,0.6327047003285116,0.42743807921876487,1.2788461538461537,0.05130347254067403,0.0,0.6296296296296295,0.37037037037037035,0.00014204545454545454,0.37026748971193413,0.10949089870689084,0.7236043984451381,0.6792402107868092,0.6746485299492904,0.468485693663203,1.0198717948717948,0.06745990539398591,0.0
delegated,402,192,168,24,0.691358024691358,0.308641975308642,0.125,0.9104337340631501,0.8137350985015871,0.4420371705888839,0.27740820456384646,1.2884615384615385,0.05270602346577959,1.0,0.6243827160493828,0.3756172839506173,0.032636850481858284,0.3516460905349794,0.1986529890401929,0.7301182603084863,0.6858524946747045,0.4803590362465367,0.3273931075426442,1.0516025641025641,0.055128611353685554,1.0
adaptive,396,194,173,21,0.7119341563786008,0.2880658436213992,0.10824742268041238,0.9107476838637186,0.8117991481702296,0.47487228234656037,0.3191906383887983,1.2692307692307692,0.043566529117060625,0.8333333333333334,0.6175925925925926,0.3824074074074074,0.017724426168481557,0.36893004115226335,0.11626998219848732,0.7245556735784033,0.6814795432156238,0.6275304255089448,0.4440688318412672,1.0158653846153847,0.06785208244937026,0.27083333333333337
