seed,scenario,applications_final,approvals_final,eligible_approved_final,ineligible_approved_final,access_rate_final,exclusion_error_final,inclusion_error_final,avg_trust_final,avg_info_final,avg_monitoring_final,avg_service_quality_final,avg_congestion_final,territorial_inequality_final,delegated_share_final,access_rate_mean,exclusion_error_mean,admin_exclusion_error_mean,demand_gap_mean,inclusion_error_mean,avg_trust_mean,avg_info_mean,avg_monitoring_mean,avg_service_quality_mean,avg_congestion_mean,territorial_inequality_mean,delegated_share_mean
1,hierarchy,397,213,198,15,0.7615384615384615,0.2384615384615385,0.0704225352112676,0.9206790827454874,0.824855289007289,0.632577130613655,0.4321706917974848,1.2724358974358974,0.019734065323912,0.0,0.6131730769230769,0.386826923076923,0.0065880039699084,0.381826923076923,0.1012124526013422,0.7250168235194432,0.685601631528292,0.6761387210905726,0.4669609186199379,1.014423076923077,0.0742203714499317,0.0
1,delegated,414,196,179,17,0.6884615384615385,0.3115384615384615,0.086734693877551,0.913598400283563,0.829713584866009,0.4373175719292229,0.2850299492096613,1.3269230769230769,0.0607238003165814,1.0,0.619326923076923,0.3806730769230769,0.0569866023157351,0.3385576923076923,0.1678650874889019,0.7406975574802235,0.6965638645099158,0.4765335066252414,0.3291056886395175,1.0838141025641026,0.06756697450081,1.0
1,adaptive,373,194,175,19,0.6730769230769231,0.3269230769230768,0.0979381443298969,0.9113934760728604,0.8253216811810009,0.4833968040449794,0.3265000952892972,1.1955128205128205,0.0455067755576426,1.0,0.6046153846153846,0.3953846153846153,0.0275632666225729,0.3749038461538462,0.1043520497469856,0.7283131893761867,0.6874352733063145,0.6118600083329422,0.4309197127115258,1.0185096153846154,0.0835030794807788,0.3583333333333333
2,hierarchy,408,203,187,16,0.7923728813559322,0.2076271186440678,0.0788177339901477,0.9061191067569238,0.8099998616200647,0.6299482710517271,0.4357379456837369,1.3076923076923077,0.0375443147781433,0.0,0.6179025423728813,0.3820974576271186,0.0012446652455164,0.3811440677966101,0.1156545950385269,0.7089713185881918,0.6772172064310373,0.6780740548390933,0.4701249957608276,1.0029647435897435,0.0776979584909363,0.0
2,delegated,378,199,166,33,0.7033898305084746,0.2966101694915254,0.1658291457286432,0.8981780331385368,0.8090050863622821,0.451289698301061,0.2911415385127848,1.2115384615384617,0.058588531516344,1.0,0.6027542372881356,0.3972457627118644,0.0175946559536063,0.3845338983050847,0.2401198244145702,0.7073368759293481,0.6768975036384154,0.4870453568248519,0.3344052775774252,1.0145833333333334,0.0554201198265156,1.0
2,adaptive,373,198,177,21,0.75,0.25,0.106060606060606,0.8855169237259001,0.805441762430522,0.4845113857482135,0.3497234578956644,1.1955128205128205,0.0511593241257624,1.0,0.5795550847457627,0.4204449152542373,0.0080750497076531,0.4146186440677966,0.1328529080720409,0.6918889749376753,0.6694571211072693,0.6529802218855341,0.4585508337814737,0.9590544871794872,0.077101322229131,0.1916666666666666
3,hierarchy,367,189,171,18,0.7276595744680852,0.2723404255319148,0.0952380952380952,0.8915859307359498,0.7987264256045545,0.6449252242453988,0.4408808621897698,1.176282051282051,0.049389245664584,0.0,0.5988297872340426,0.4011702127659574,0.0002873942917547,0.4009574468085106,0.1207354335537615,0.702469641563992,0.6650290894938948,0.683359353673666,0.4758767946202232,0.9596955128205128,0.0775087773909174,0.0
3,delegated,399,193,172,21,0.7319148936170212,0.2680851063829788,0.1088082901554404,0.8998901068597805,0.8023956621819157,0.4431876846539371,0.2837892282287166,1.278846153846154,0.0580038754939582,1.0,0.6108510638297873,0.3891489361702128,0.0210629571143415,0.3738297872340425,0.2260705632152416,0.7157520979429827,0.671409288776306,0.4870552962156849,0.3366413607574862,1.0033653846153847,0.0682376452713926,1.0
3,adaptive,392,194,172,22,0.7319148936170212,0.2680851063829788,0.1134020618556701,0.8863253838542717,0.7991575911811458,0.478467669004827,0.3386296293413276,1.2564102564102564,0.0648659005622769,0.6666666666666666,0.5851063829787234,0.4148936170212766,0.008487972288752,0.4086170212765957,0.1301286961885114,0.6983662943609591,0.6649173939948848,0.6484294372154403,0.4598647337712085,0.9571314102564102,0.0703120678355886,0.2041666666666666
4,hierarchy,385,193,177,16,0.7468354430379747,0.2531645569620253,0.082901554404145,0.9009485462976066,0.7983787020952028,0.6385010750468255,0.4357275576720791,1.2339743589743588,0.0704662506827963,0.0,0.5943037974683544,0.4056962025316456,0.0008453772382404,0.4050632911392405,0.1227444426202836,0.7033284428946779,0.6572259390482486,0.6840305945599859,0.4780486030188551,0.9541666666666666,0.0786968042282171,0.0
4,delegated,403,195,172,23,0.7257383966244726,0.2742616033755274,0.1179487179487179,0.90826318250698,0.8029520636075674,0.4414374807070931,0.2789015742370243,1.2916666666666667,0.0345930924276165,1.0,0.6050632911392405,0.3949367088607595,0.0210223258694762,0.3795358649789029,0.227791866879523,0.716538405940594,0.664526878576779,0.4866200726289564,0.3369827679851758,1.009054487179487,0.0602309124717773,1.0
4,adaptive,403,198,179,19,0.7552742616033755,0.2447257383966244,0.0959595959595959,0.9032078587002652,0.800499811577394,0.4730379789699326,0.3354903050779997,1.2916666666666667,0.0616037143485747,1.0,0.5966244725738397,0.4033755274261603,0.0076507923252354,0.3976793248945148,0.1305841010568008,0.7083947900452572,0.6603354369064676,0.6422975537555721,0.4584332754642905,0.9683493589743588,0.0659261388785247,0.2333333333333333
